hash|||log_cnt|||add|||del|||mod|||other_changes|||other_ext|||ratio|||isConsistent|||message
1681d2116c96d07b69bf2730271f3161153a6670|||1|||0|||0|||1|||False|||False|||1.0|||NEW|||serial: 8250_uniphier: add "\n" at the end of error log
972e54adcd435e87f15c972bb61836a1ee94a4cc|||2|||0|||114|||45|||False|||True|||0.012578616352201259|||CONSISTENT|||staging: lustre: echo: replace lov_stripe_md with lov_oinfo
0489df9a430e9607de8130a6bc4bf4c02f96eaf1|||1|||18|||0|||5|||False|||True|||0.043478260869565216|||CONSISTENT|||xdp: add flag to enforce driver mode
83ef26ac1326fdd2fc8d160967cdca2e8b46ccd4|||1|||0|||0|||4|||False|||False|||0.25|||INCONSISTENT|||ASoC: cs43130: fix spelling mistake: "irq_occurrance" -> "irq_occurrence"
b04bf5833e8a0d6ae4e3f7b35b30c4ab6ff7ea1b|||1|||0|||0|||1|||False|||False|||1.0|||INCONSISTENT|||target/tcm_fc: print command pointer in debug message
0d1223dd9273b2ba3e965a81092a239405a4931c|||2|||0|||0|||4|||False|||False|||0.5|||INCONSISTENT|||powerpc/pseries/pmem: Convert to %pOFn instead of device_node.name
ceb3b10613eba86ddf043345338e32673a27f87a|||10|||12|||1|||26|||False|||True|||0.2564102564102564|||INCONSISTENT|||fs/adfs: clean up error message printing
95c3e451e6277462790b56aac568414c067a11f8|||2|||0|||3|||24|||False|||True|||0.07407407407407407|||CONSISTENT|||mt76: use mt76x02_dev instead of mt76_dev in mt76x02_usb_mcu.c
6c702da653d1a32e1410597f62b4f54ddaff1f9d|||2|||3|||0|||4|||False|||False|||0.2857142857142857|||CONSISTENT|||ARM: davinci: cp-intc: unify error handling
93c2fb253d177a0b8f4f93592441f88c9b7d6245|||1|||0|||0|||298|||False|||True|||0.003355704697986577|||NEW|||net/ipv6: Rename fib6_info struct elements
d9f11ba9f107aa335091ab8d7ba5eea714e46e8b|||3|||13|||0|||67|||False|||True|||0.0375|||CONSISTENT|||xhci: Rework how we handle unresponsive or hoptlug removed hosts
2ff7e61e0d30ff166a2ae94575526bffe11fd1a8|||5|||0|||124|||1119|||False|||True|||0.004022526146419952|||CONSISTENT|||btrfs: take an fs_info directly when the root is not used otherwise
6512dd4dcf640412637ece8a412e83c3a0046d2f|||1|||0|||9|||2|||False|||False|||0.09090909090909091|||CONSISTENT|||ASoC: Intel: Use MCLK instead of BLCK as the sysclock for RT5514 codec on kabylake platform
cec572561a748396c783c1ea91a289816d3c4f18|||2|||2|||0|||2|||False|||False|||0.5|||INCONSISTENT|||xfs: bmap debugging should never panic the system
34d4fcd8813a990d0afb86893fdd64748adca6cb|||1|||59|||0|||8|||False|||True|||0.014925373134328358|||CONSISTENT|||ath9k: Read noise floor calibration data from eeprom
527bd754d1ffc4bbd89a33c643e74c53d713eb4e|||5|||0|||17|||21|||False|||False|||0.13157894736842105|||CONSISTENT|||rtc: Use dev_get_drvdata()
e3ebc381a966f7fb41b13c2823ff96f9d6d7a377|||1|||1|||0|||18|||False|||False|||0.05263157894736842|||CONSISTENT|||power: supply: bq24190_charger: Uniform pm_runtime_get() failure handling
db9e44fb057311ca3f41ba63eb5f3b5c5ab7632d|||2|||0|||7|||13|||False|||False|||0.1|||CONSISTENT|||drm/msm/mdp4: Clean up some MDP4 clocks
36b8defc447627c3e91058c43941ec15d827556e|||2|||0|||4|||8|||False|||False|||0.16666666666666666|||NEW|||ALSA: us122l: Use alloc_pages_exact()
b4e9e2f0fc87b876a4e2162733c1940e861785b1|||7|||0|||0|||10|||False|||False|||0.7|||INCONSISTENT|||IB/hfi1: Reclassify type of messages printed for platform config logic
c200dac78fec66d87ef262cac38cfe4feabdf737|||1|||19|||0|||8|||False|||False|||0.037037037037037035|||NEW|||x86/mm: Do not warn about PCI BIOS W+X mappings
6b50e119c440b7532ed749b635a58b3839f62992|||1|||23|||0|||2|||False|||True|||0.04|||CONSISTENT|||rcutorture: Print symbolic name for ->gp_state
be5eb33d5d1bd076d98564ba2fea7a4ed36ca24f|||3|||8|||0|||8|||False|||False|||0.1875|||CONSISTENT|||clocksource/drivers/asm9260: Convert init function to return error
0629a330cf55454962168dd3ee46fad53a39323e|||4|||0|||8|||53|||False|||True|||0.06557377049180328|||CONSISTENT|||qed: avoid possible stack overflow in qed_ll2_acquire_connection
9ce7a956327ad6c14e1a7eb9f4cb5300c8b61db6|||1|||3|||10|||67|||False|||True|||0.0125|||CONSISTENT|||nfp: bpf: refactor offload logic
ec22eb53106be1472ba6573dc900943f52f8fd1e|||2|||26|||97|||235|||False|||True|||0.00558659217877095|||CONSISTENT|||{net,IB}/mlx5: MKey/PSV commands via mlx5 ifc
a87730cc3acc475eff12ddde3f7d5687371b5c76|||1|||7|||0|||2|||False|||False|||0.1111111111111111|||CONSISTENT|||selftests/x86/fsgsbase: Test ptracer-induced GSBASE write with FSGSBASE
25da77f83068bfc95d08ddfb8e6c53983901e278|||1|||13|||0|||2|||False|||True|||0.06666666666666667|||CONSISTENT|||drm/i915: Stop getting the fault address from RING_FAULT_REG
80da44c29d997e28c4442825f35f4ac339813877|||1|||1|||0|||15|||False|||False|||0.0625|||NEW|||crypto: vmx - Fix memory corruption caused by p8_ghash
de901cc31d151c4c855346c29fb61eaf5ffac3ad|||1|||61|||0|||63|||True|||False|||0.008064516129032258|||CONSISTENT|||Input: mpr121 - switch to device tree probe
