hash,log_cnt,add,del,mod,other_changes,other_ext,ratio,isConsistent,message
2a600d97cbb2a9311e6b42547d37e0eca9b9d6d6,1,0,11,17,FALSE,TRUE,0.03571428571,CONSISTENT,pch_gbe: Switch to new PCI IRQ allocation API
0d0e57697f162da4aa218b5feafe614fb666db07,1,11,0,5,FALSE,FALSE,0.0625,CONSISTENT,bpf: don't let ldimm64 leak map addresses on unprivileged
cb48326493146b1022702b9b8f15460f7e9dbfc1,1,0,0,1,FALSE,FALSE,1,INCONSISTENT,"usbip: vhci: fix spelling mistake: ""synchronuously"" -> ""synchronously"""
318fc2a867bc5bac688cb88f111eb75792675dc2,1,0,1,2,FALSE,FALSE,0.3333333333,INCONSISTENT,HID: intel_ish-hid: fix format string for size_t
539b7a39f5ec4cfb573af1e65aeed0edf32be8bb,1,0,8,24,FALSE,FALSE,0.03125,CONSISTENT,gpio: tegra: Use unsigned int where possible
321390d9bdd9e0481bde19bd965d019855c1ec74,1,2,0,6,FALSE,FALSE,0.125,CONSISTENT,watchdog: coh901327: make use of timeout-secs provided in devicetree
7ff8c1ae610159fcb6e7188224520cf0f8b7a336,1,0,0,1,FALSE,FALSE,1,INCONSISTENT,rtl8xxxu: Use correct formatting type to print sizeof()
1375baa965590bbd3ce7656a6d643e4b3590fd37,1,0,5,5,FALSE,TRUE,0.1,CONSISTENT,staging:r8188eu: remove sw_encrypt member of security_priv struct
cf4747d7535a936105f0abe8d8109d3fe339162b,12,0,6,45,FALSE,TRUE,0.2352941176,CONSISTENT,rtlwifi: Fix regression caused by commit d86e64768859
2f67798c1f9f35ba576ac0639b9b648b9b2033f6,4,2,0,8,FALSE,FALSE,0.4,CONSISTENT,selftests/powerpc: Fix subpage_prot test to return !0 on failure
eeb30613e1ef82236a058b02d645cad812b309ae,2,4,0,2,FALSE,FALSE,0.3333333333,INCONSISTENT,xprtrmda: Report address of frmr
98eae5e71cdcf2954f9b022a78d0507878410df6,2,1,0,34,FALSE,TRUE,0.05714285714,CONSISTENT,staging/lustre/llite: Rename struct ccc_grouplock to ll_grouplock
3707b2c3d21f7c9f8c6aadba79ef012f0bbad10c,4,0,0,4,FALSE,FALSE,1,INCONSISTENT,mtd: bcm63xxpart: give width specifier an 'int'
a618a2754ce6037beabe770aa01ae5ca97a0d65e,1,0,101,49,FALSE,FALSE,0.006666666667,CONSISTENT,signal/ia64: Use force_sig_fault where appropriate
038d710fca5bb149d3af2e0b71f1284f8430a979,1,0,0,2,FALSE,FALSE,0.5,INCONSISTENT,scsi: qla2xxx: avoid printf format warning
02715e86b21955f107f376d84d165424ba9cd372,2,0,139,48,FALSE,FALSE,0.01069518717,CONSISTENT,ia64/PCI/ACPI: Use common interface to support PCI host bridge
5d8e614f6cf8850657edbd1859391a2ae45b4488,1,0,1,2,FALSE,FALSE,0.3333333333,INCONSISTENT,spi: sh-msiof: Use dev_warn_once() instead of open-coding
7f3f356e455dd4438fdad2d45330f0d27bd087b6,1,0,0,1,FALSE,FALSE,1,INCONSISTENT,greybus: gb-audio: fix build warning
b7ac31b7b2ebd735b7b67c85711ef6d16648051a,1,1,0,8,FALSE,TRUE,0.1111111111,CONSISTENT,btrfs: convert extent_state.refs from atomic_t to refcount_t
03f0f7cdebeb0872076817ff835ea812a62b37c6,2,0,0,2,FALSE,FALSE,1,INCONSISTENT,mwifiex: increase the priority of firmware dump message
57b26497fabe1b9379b59fbc7e35e608e114df16,1,0,0,5,FALSE,FALSE,0.2,INCONSISTENT,IB/iser: Pass the correct number of entries for dma mapped SGL
f66abf09e092fde88fec3c93d0b0c704e18224b8,1,0,0,3,FALSE,FALSE,0.3333333333,CONSISTENT,mm: kmemleak: slightly reduce the size of some structures on 64-bit architectures
3437d3c886ed07863acde923a627395abb177aa9,2,0,2,33,FALSE,FALSE,0.05714285714,CONSISTENT,nios2: Use an invalid TLB entry address helper function
bfeda41d06d85ad9d52f2413cfc2b77be5022f75,1,0,4,4,FALSE,FALSE,0.125,CONSISTENT,stacktrace
6bc5a4a1927556ff9adce1aa95ea408c95453225,1,5,0,6,FALSE,FALSE,0.09090909091,CONSISTENT,media: hdpvr: fix locking and a missing msleep
866053bb644f754d1a93aaa9db9998fecf7a8978,1,0,0,1,FALSE,FALSE,1,INCONSISTENT,perf tools: Cast off_t to s64 to avoid warning on bionic libc
30b8913fd3ebc89d8a261b0d75e7034c3460adb9,1,0,4,8,FALSE,FALSE,0.08333333333,CONSISTENT,drm/exynos/decon5433: use readl_poll_timeout helpers
2843fdbddd188edb4d7e60f72f513ad8b82d1a54,1,0,0,8,FALSE,FALSE,0.125,CONSISTENT,cxlflash: Fix data corruption when vLUN used over multiple cards
f0b9c27c0c933a6545ea57d4edbc56a4db435c84,1,0,5,48,FALSE,FALSE,0.01886792453,CONSISTENT,arcnet: com90io: Use arcnet_<I/O> routines
77f887cdcda8d34e21647a8e6bff6b5630036feb,19,0,7,31,FALSE,FALSE,0.5,INCONSISTENT,media: si2165: Remove redundant KBUILD_MODNAME from dev_* logging
60f7691c624b41a05bfc3493d9b0519e7951b7ef,1,0,0,2,FALSE,FALSE,0.5,INCONSISTENT,i2c: sis630: correct format strings
ce0725f78a56a59bdb07cef003bc6fef722da38e,1,0,0,4,FALSE,TRUE,0.25,CONSISTENT,"numa: make ""nr_online_nodes"" unsigned int"
bb963e16507ca7670f0bb47ccaada8874b2ba6a1,1,0,0,52,FALSE,FALSE,0.01923076923,CONSISTENT,perf utils: Check verbose flag properly
a022606e53fa16ac788fcc9e9362f5fbe4ae83c2,1,3,0,12,FALSE,FALSE,0.06666666667,CONSISTENT,xen: use bio op accessors
9bc6ac918c7176fcc306f3e57a34e7bc51ae470c,2,5,0,5,FALSE,FALSE,0.2,CONSISTENT,net: hns3: handle empty unknown interrupt
cccd85bfb7bf6787302435c669ceec23b5a5301c,11,47,0,143,TRUE,TRUE,0.05789473684,CONSISTENT,s390/zcrypt: Rework debug feature invocations.
f0e82d737d1b727e93adec16cf7132391249356a,1,0,0,1,FALSE,FALSE,1,INCONSISTENT,net: ti: cpsw-common: dont print error if ti_cm_get_macid() fails
bc743f34dfa011e62edd0ea4ae8455be06c083b5,4,0,0,4,FALSE,FALSE,1,INCONSISTENT,ubi: Fix early logging
82b0a434b436f5da69ddd24bd6a6fa5dc4484310,2,33,0,6,FALSE,TRUE,0.05128205128,CONSISTENT,irqchip/gic/realview: Support more RealView DCC variants
0f66356d24c6950bf6b1a47df7c77ca57305074d,1,20,0,32,FALSE,TRUE,0.01923076923,CONSISTENT,drm/amd/amdgpu: For virtual display
837e9f00bf9966d64abc1bce678271099a72423b,1,43,1,28,FALSE,TRUE,0.01388888889,CONSISTENT,usb: dwc2: gadget: Final fixes for BDMA ISOC
ff418feeec0fefb8373567c1e4e32b631587f454,1,334,0,95,FALSE,TRUE,0.002331002331,CONSISTENT,iwlwifi: mvm: add support for new FTM fw API
614c70f35cd77a9af8e2ca841dcdb121cec3068f,1,0,0,1,FALSE,FALSE,1,INCONSISTENT,"bnx2x: fix spelling mistake ""dicline"" -> ""decline"""
b4eeed590deeff13a53db641129f0301d70248f3,2,3,0,6,FALSE,FALSE,0.2222222222,CONSISTENT,drm/amd/powerplay: rewrite pp_sw_init to make code readable
85cd69b8f1f7e289fe931a82889e673fd0f04842,1,5,0,10,FALSE,FALSE,0.06666666667,CONSISTENT,iwlwifi: mvm: fix d3_test with unified D0/D3 images
437df2172e8d63b21b748ba1f3ac574451a51440,2,0,0,8,FALSE,FALSE,0.25,CONSISTENT,thermal: rockchip: consistently use int for temperatures
960b35d06b6d6b377fd47a8a44e41a96f35ce485,1,0,0,1,FALSE,FALSE,1,INCONSISTENT,UBI: Modify wrong comment in ubi_leb_map function.
cb7ee69015aaba5e1091af94e73bc72483c08e37,1,0,0,10,FALSE,FALSE,0.1,CONSISTENT,drm/i915: make find_fw_domain work on intel_uncore
cc4816503f835c7cea184776fe8ae5bb3f505083,1,3,0,11,FALSE,FALSE,0.07142857143,CONSISTENT,tools/power turbostat: add single character tokens to help
9c219b2337b87108cc57acf93e31ce1ab0e8013e,2,1,0,2,FALSE,FALSE,0.6666666667,INCONSISTENT,remoteproc: core: Ensure error message is clear
1a13a2ec3eb360c80e1ea88b9b7616fa64d4e278,1,0,0,3,FALSE,FALSE,0.3333333333,CONSISTENT,drm/i915: Fix an error checking test
35bf7692e765c2275bf93fe573f7ca868ab73453,6,0,0,6,FALSE,FALSE,1,INCONSISTENT,mei: fix format string in debug prints
bc64e05408cafe3668e7460834935ea3f1764f31,1,30,0,25,FALSE,TRUE,0.01818181818,CONSISTENT,drm/i915: Fix context ban and hang accounting for client
25520d55cdb6ee289abc68f553d364d22478ff54,3,0,29,152,FALSE,TRUE,0.01657458564,INCONSISTENT,block: Inline blk_integrity in struct gendisk
473858cad1ea3d4e6c287bad23961cd5fb7382d9,2,21,0,35,FALSE,TRUE,0.03571428571,CONSISTENT,ASoC: Intel: sst: Add sst_realloc_stream() function
e015d58b44a93a3fd89ed910d68659dfdc57237c,4,53,0,27,FALSE,TRUE,0.05,CONSISTENT,qed: verify RoCE resource bitmaps are released
f398c5f4de79b851c1362d3ee8f4fd5e2713fab0,1,0,3,10,FALSE,FALSE,0.07692307692,CONSISTENT,staging: ks7010: clean SME_MIC_FAILURE_REQUEST case in hostif_sme_execute
48f1b4efd67c922eff113f247533cbe175b1491e,1,0,0,17,FALSE,TRUE,0.05882352941,CONSISTENT,regulator: Fix trivial language typos
4938250ebdb89bd7ed9e4735ac705403fcd1e832,1,20,0,5,FALSE,FALSE,0.04,CONSISTENT,scsi: lpfc: Linux LPFC driver does not process all RSCNs
dc50f782c99a48bf49c0ca3e3f407f207d303d81,1,24,33,69,FALSE,TRUE,0.007936507937,CONSISTENT,drm/msm/hdmi: Clean up connector gpio usage
3c67075d5df21f6bdb1dade1f2ab7e82ef0c0f6a,2,0,13,36,FALSE,FALSE,0.04081632653,CONSISTENT,signal/m68k: Use force_sig_fault where appropriate
f358dd0ca26c152a5e0922e269996268dcb98a9d,2,787,0,20,TRUE,TRUE,0.002478314746,CONSISTENT,scsi: lpfc: NVME Target: Base modifications
98f30b1207932b6553ea605c99393d8afca12324,2,8,0,2,FALSE,FALSE,0.2,CONSISTENT,"x86/dumpstack/64: Handle faults when printing the ""Stack: "" part of an OOPS"
1967158fff819b38f4e46763ca8df067b4b69f59,1,0,0,2,FALSE,FALSE,0.5,INCONSISTENT,ALSA: x86: fix error return code in hdmi_lpe_audio_probe()
30bba430ddf737978e40561198693ba91386dac1,1,0,0,2,FALSE,FALSE,0.5,CONSISTENT,dm integrity: correctly calculate the size of metadata area
c44768a33da81b4a0986e79bbf0588f1a0651dec,1,21,0,28,FALSE,FALSE,0.02040816327,CONSISTENT,sparc: Fix JIT fused branch convergance.
